<DATE>;<VALUE>;<TYPE>
16.11.2018;113710;Открытие
16.11.2018;113670;Открытие
16.11.2018;113670;Открытие
16.11.2018;113750;Открытие
16.11.2018;113880;Открытие
16.11.2018;113990;Открытие
16.11.2018;113950;Открытие
16.11.2018;113990;Открытие
16.11.2018;113950;Открытие
16.11.2018;113960;Открытие
16.11.2018;113950;Открытие
16.11.2018;114070;Открытие
16.11.2018;114220;Открытие
16.11.2018;114230;Открытие
16.11.2018;114170;Открытие
16.11.2018;114100;Открытие
16.11.2018;114080;Открытие
16.11.2018;114140;Открытие
16.11.2018;114180;Открытие
16.11.2018;114260;Открытие
16.11.2018;114280;Открытие
16.11.2018;114160;Открытие
16.11.2018;114090;Открытие
16.11.2018;113970;Открытие
16.11.2018;114030;Открытие
16.11.2018;114060;Открытие
16.11.2018;114140;Открытие
16.11.2018;114090;Открытие
16.11.2018;114060;Открытие
16.11.2018;114070;Открытие
16.11.2018;114200;Открытие
16.11.2018;114150;Открытие
16.11.2018;114120;Открытие
16.11.2018;114140;Открытие
16.11.2018;114110;Открытие
16.11.2018;114010;Открытие
16.11.2018;114000;Открытие
16.11.2018;114000;Открытие
16.11.2018;113920;Открытие
16.11.2018;113980;Открытие
16.11.2018;114080;Открытие
16.11.2018;114030;Открытие
16.11.2018;114100;Открытие
16.11.2018;113990;Открытие
16.11.2018;114000;Открытие
16.11.2018;114010;Открытие
16.11.2018;113870;Открытие
16.11.2018;113900;Открытие
16.11.2018;113940;Открытие
